Symbol,Date,Open,Close,Shortname,Sector,Weight,PcChangeDay
CPRT,2020-03-20,71.48999786376953,60.150001525878906,"Copart, Inc.",Consumer Cyclical,0.000788935448363,-15.86
GLW,2020-03-20,21.350000381469727,18.86000061035156,Corning Incorporated,Technology,0.0008211814900582,-11.66
CTVA,2020-03-20,23.200000762939453,22.530000686645508,"Corteva, Inc.",Basic Materials,0.0011392068796293,-2.89
COST,2020-03-20,307.9200134277344,290.4200134277344,Costco Wholesale Corporation,Consumer Defensive,0.0064684760170097,-5.68
CTRA,2020-03-20,16.75,14.920000076293944,Coterra Energy Inc.,Energy,0.0006372192313695,-10.93
CCI,2020-03-20,129.30999755859375,128.05999755859375,Crown Castle International Corp,Real Estate,0.002196875317726,-0.97
CSX,2020-03-20,18.170000076293945,16.623332977294922,CSX Corporation,Industrials,0.0018743712977199,-8.51
CMI,2020-03-20,120.91000366210938,116.4800033569336,Cummins Inc.,Industrials,0.0008555991587106,-3.66
CVS,2020-03-20,55.810001373291016,54.70000076293945,CVS Health Corporation,Healthcare,0.0037282050698774,-1.99
DHI,2020-03-20,30.920000076293945,31.3799991607666,"D.R. Horton, Inc.",Consumer Cyclical,0.0007879844024238,1.49
DHR,2020-03-20,125.87999725341795,123.80999755859376,Danaher Corporation,Healthcare,0.0053694305949097,-1.64
DRI,2020-03-20,45.5,39.0,"Darden Restaurants, Inc.",Consumer Cyclical,0.0004470123272164,-14.29
DVA,2020-03-20,71.25,64.98999786376953,DaVita Inc.,Healthcare,0.0002560382285482,-8.79
DE,2020-03-20,119.66000366210938,111.62999725341795,Deere & Company,Industrials,0.0027053327213505,-6.71
DAL,2020-03-20,23.170000076293945,21.350000381469727,"Delta Air Lines, Inc.",Industrials,0.0005916762678789,-7.85
XRAY,2020-03-20,35.41999816894531,32.81999969482422,DENTSPLY SIRONA Inc.,Healthcare,0.0002263428437087,-7.34
DVN,2020-03-20,6.739999771118164,6.079999923706055,Devon Energy Corporation,Energy,0.0010453962489656,-9.79
DXCM,2020-03-20,52.07749938964844,52.375,"DexCom, Inc.",Healthcare,0.0002249413191518,0.57
FANG,2020-03-20,19.34000015258789,18.59000015258789,"Diamondback Energy, Inc. - Comm",Energy,0.0005948132518334,-3.88
DLR,2020-03-20,125.9499969482422,121.1999969482422,"Digital Realty Trust, Inc.",Real Estate,0.0010493303893102,-3.77
DFS,2020-03-20,29.700000762939453,25.25,Discover Financial Services,Financial Services,0.0008699920030725,-14.98
DISH,2020-03-20,20.149999618530277,19.96999931335449,DISH Network Corporation,Communication Services,0.0002739145976162,-0.89
DIS,2020-03-20,95.98999786376952,85.9800033569336,Walt Disney Company (The),Communication Services,0.0050589739281758,-10.43
DG,2020-03-20,142.38999938964844,140.1300048828125,Dollar General Corporation,Consumer Defensive,0.0017055190805516,-1.59
DLTR,2020-03-20,72.08000183105469,75.97000122070312,"Dollar Tree, Inc.",Consumer Defensive,0.0010978916463195,5.4
D,2020-03-20,72.0199966430664,67.22000122070312,"Dominion Energy, Inc.",Utilities,0.0019085733870277,-6.66
DPZ,2020-03-20,326.9100036621094,299.95001220703125,Domino's Pizza Inc,Consumer Cyclical,0.0004232744532057,-8.25
DOV,2020-03-20,71.79000091552734,66.12999725341797,Dover Corporation,Industrials,0.0005170710164037,-7.88
DOW,2020-03-20,28.59000015258789,27.440000534057617,Dow Inc.,Basic Materials,0.0011088731606965,-4.02
DTE,2020-03-20,73.71063995361328,70.63829803466797,DTE Energy Company,Utilities,0.0007212787332715,-4.17
DUK,2020-03-20,75.8499984741211,68.4000015258789,Duke Energy Corporation (Holdin,Utilities,0.0024631372444467,-9.82
DRE,2020-03-20,28.420000076293945,26.989999771118164,Duke Realty Corporation,Real Estate,0.0006446036155976,-5.03
DD,2020-03-20,32.529998779296875,31.46999931335449,"DuPont de Nemours, Inc.",Basic Materials,0.0008556511657051,-3.26
DXC,2020-03-20,12.949999809265137,11.670000076293944,DXC Technology Company,Technology,0.0002149623400744,-9.88
EMN,2020-03-20,42.11000061035156,40.810001373291016,Eastman Chemical Company,Basic Materials,0.0003626248889384,-3.09
ETN,2020-03-20,73.86000061035156,64.93000030517578,"Eaton Corporation, PLC",Industrials,0.001503849597323,-12.09
EBAY,2020-03-20,29.5,27.57999992370605,eBay Inc.,Consumer Cyclical,0.0008041457281889,-6.51
ECL,2020-03-20,159.4199981689453,141.8800048828125,Ecolab Inc.,Basic Materials,0.0013444730058217,-11.0
EIX,2020-03-20,48.869998931884766,46.86000061035156,Edison International,Utilities,0.0007035596944964,-4.11
EW,2020-03-20,60.45333480834961,55.48333358764648,Edwards Lifesciences Corporatio,Healthcare,0.0017885355194553,-8.22
EA,2020-03-20,92.23999786376952,86.94000244140625,Electronic Arts Inc.,Communication Services,0.001025780111958,-5.75
LLY,2020-03-20,132.16000366210938,122.4000015258789,Eli Lilly and Company,Healthcare,0.0092044059025599,-7.38
EMR,2020-03-20,46.5,44.09000015258789,Emerson Electric Company,Industrials,0.0014002407027528,-5.18
ENPH,2020-03-20,27.68000030517578,26.0,"Enphase Energy, Inc.",Technology,0.0007600898967873,-6.07
ETR,2020-03-20,85.72000122070312,79.98999786376953,Entergy Corporation,Utilities,0.0006632444692143,-6.68
EOG,2020-03-20,34.689998626708984,34.88999938964844,"EOG Resources, Inc.",Energy,0.0017309161542892,0.58
EPAM,2020-03-20,169.0,168.07000732421875,"EPAM Systems, Inc.",Technology,0.0005139854304624,-0.55
EFX,2020-03-20,117.0,105.6500015258789,"Equifax, Inc.",Industrials,0.0006790477140341,-9.7
EQIX,2020-03-20,549.75,506.5199890136719,"Equinix, Inc.",Real Estate,0.0016820841442386,-7.86
EQR,2020-03-20,60.290000915527344,55.290000915527344,Equity Residential,Real Estate,0.0007949729488723,-8.29
ESS,2020-03-20,212.0,196.3300018310547,"Essex Property Trust, Inc.",Real Estate,0.0005110843658245,-7.39
